乐团	樂團	yue4tuan2	orchestra; band
非去不可	非去不可	fei1qu4bu4ke3	visiting (it) is a must!!!
流行	流行	liu2xing2	to spread; prevalent; be popular
唉	唉	ai4, ai1	(an exclamation indicating resignation); oh well; oh; mm
演唱会	演唱會	yan3chang4hui4	music concert (with vocals)
塞车	塞車	sai1che1	(meet a) traffic jam
上线	上線	shang4xian4	online
成功	成功	cheng2gong1	success; succeed; successful
倒楣	倒楣	dao3mei2	have bad luck; get into trouble
认真	認真	ren4zhen1	serious; earnest; take seriously, conscientious
公平	公平	gong1ping2	fair; impartial; just
出生	出生	chu1sheng1	be born
穷	窮	qiong2	poor; exhausted
父亲	父親	fu4qin5	father (formal)
母亲	母親	mu3qin5	mother (formal)
学徒	學徒	xue2 tu2	apprentice
明白	明白	ming2bai5	clear; obvious; understand; explicit
吃苦	吃苦	chi1 ku3	bear hardships; suffer
当兵	當兵	dang1bing1	serve in the military
认字	認字	ren4zi4	know how to read; literate; to learn characters
烘焙	烘焙	hong1bei4	cure (tobacco, etc.); dry over a fire; to bake 
学习	學習	xue2xi2	to learn; to study
技术	技術	ji4shu4	technology; technique; skill
艺术	藝術	yi4shu4	art
经过	經過	jing1guo4	to pass; go through; as a result of
终于	終於	zhong1yu2	at last; in the end; finally
亿	億	yi4	one hundred million (100,000,000)
梦想	夢想	meng4xiang3	to dream of; wishful thinking; dream
成为	成為	cheng2wei2	become; turn into
企业家	企業家	qi3ye4jia1	entrepreneur; big businessman; industrialist
分店	分店	fen1dian4	branch (of a chain store)
原因	原因	yuan2yin1	cause; reason
录取	錄取	lu4qu3	select and admit; enroll (qualified people); hire
鼓励	鼓勵	gu3li4	encourage; inspire; urge
吴宝春	吳寶春	wu2bao3chun1	a male person's name
新加坡	新加坡	Xin1jia1po1	Singapore
日文	日文	Ri4wen2	Japanese language
